filename,./outputs/q1mult_CompleteData_NoGPT_20250114_203050.csv,./outputs/q1mult_PartiallyMissingData_NoGPT_20250119_225133.csv,./outputs/q1mult_PartiallyMissingData_GPT_20250118_184104.csv,ground_truth
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day10_bathroom.json,7.0,3.0,4.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day10_bedroom.json,14.0,5.0,5.0,14.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day10_kitchen.json,17.0,9.0,10.0,15.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day10_livingroom.json,10.0,8.0,7.0,8.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day1_bathroom.json,4.0,5.0,5.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day1_bedroom.json,7.0,10.0,10.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day1_kitchen.json,6.0,7.0,7.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day1_livingroom.json,3.0,4.0,4.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day2_bathroom.json,3.0,0.0,0.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day2_bedroom.json,5.0,1.0,1.0,5.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day2_kitchen.json,5.0,3.0,3.0,5.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day2_livingroom.json,2.0,3.0,3.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day3_bathroom.json,6.0,4.0,4.0,5.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day3_bedroom.json,13.0,6.0,6.0,15.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day3_kitchen.json,12.0,9.0,9.0,15.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day3_livingroom.json,5.0,7.0,7.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day4_bathroom.json,7.0,4.0,4.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day4_bedroom.json,14.0,5.0,5.0,14.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day4_kitchen.json,15.0,10.0,11.0,12.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day4_livingroom.json,7.0,4.0,4.0,4.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day5_bathroom.json,5.0,4.0,3.0,4.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day5_bedroom.json,10.0,9.0,8.0,10.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day5_kitchen.json,10.0,6.0,6.0,9.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day5_livingroom.json,4.0,2.0,2.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day6_bathroom.json,4.0,3.0,3.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day6_bedroom.json,7.0,8.0,7.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day6_kitchen.json,6.0,11.0,11.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day6_livingroom.json,3.0,5.0,5.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day7_bathroom.json,7.0,6.0,6.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day7_bedroom.json,13.0,13.0,13.0,13.0
